Temp1,FlowC1 PressureC1,PressureC1 TempC9,yield
139.9857,92920.76438772,18627.29015391,69.40062325
131.047,99966.28604970999,20019.801239,66.53266646
118.2666,89670.37348863999,18144.51379968,71.10219259
118.1769,98898.83402154,19570.820199629998,69.79348088
120.7891,84629.09223893001,17012.75127639,71.48951583
121.7929,95963.02192734,19070.46477186,69.05508903
120.8903,100836.17723816,20388.62594314,69.16105249
119.4786,87688.2138804,17540.03394954,71.39919122
124.839,84516.72176408,16868.39555993,70.12587968
121.602,103232.6482831,20411.609017900002,69.72631904
121.8594,99828.82443207,19937.721547470002,67.77787094
121.1189,87479.07097665001,17478.40715703,70.72671443
121.7611,91549.16756609001,18507.876683540002,69.65671047
120.8585,96036.0728032,19120.5975432,69.53518784
121.3995,88681.56725025,17614.538980349997,70.44829579
119.7303,98546.56647821999,19901.071823219998,69.0961358
121.7582,100234.16291,20301.521022999998,67.69307438
121.411,91485.42958176,18503.43793588,69.89946566
118.4661,95777.89396488,19136.36471148,69.9737906
120.3696,97867.06201928,19862.806741239998,70.05030197
119.9068,103723.44976184999,21543.115371990003,71.1950835
120.1584,92675.33103938,18641.823701,71.14084948
120.1324,100526.35795635999,21438.29310124,71.9782232
117.824,74113.67474268,14873.63651784,69.221689
118.8509,57637.275745299994,11557.01752,69.3680077
121.871,72467.74535340999,14451.123433,70.16545973
119.6927,78866.95673454001,15718.261214,70.0761285
117.9715,76586.08446405,15375.39312393,69.29715961
126.0684,77340.22729602,15919.96182777,71.07169554
121.6801,69414.5850048,14510.047802959998,67.1441158
112.426,70911.0022383,14291.146068,65.72632849
118.0207,71706.56115044,14410.273518760001,69.20356716
118.4257,75854.52983736001,15061.287983999999,69.06867956
135.0188,78781.30850136,15914.40272472,73.24242551
127.6826,67181.28877554,14271.338328810001,68.2531281
121.2461,73021.21019985,15255.256714,66.74562168
124.434,87619.46359460999,17987.63380467,70.10385691
129.8204,82644.61383356,16542.619936,71.86946171
149.2138,76467.25330868,15540.144294759999,67.17430263
144.5911,78356.22290093999,15694.830996,70.475956
146.483,74566.35348300001,15074.758800000001,68.09191326
158.0253,74212.26061821,16089.669414000002,68.51335753
120.2626,71029.64901689999,14169.70278,69.23730962
121.6367,66430.85548607999,13349.15420376,69.99149499
121.9086,70409.36944734001,14073.356358809999,69.71265582
120.9626,81251.87460384,16465.51689672,69.9002972
155.4767,99025.08522430001,19822.5582025,68.61454385
123.9046,72971.10151996001,14466.14076524,70.22958212
118.6166,71960.13284064,14405.936848160001,69.1030408
121.5557,58807.081363920006,11717.112192,69.19803928
141.9413,79816.36403135999,15960.81318498,70.35464241
159.3068,76975.11119957999,15249.314471579999,67.95517271
119.1113,66342.92406475,13188.484203000002,68.56284262
131.5532,91632.56240012,18562.40530124,70.62892053
120.0022,79013.141726,16341.71976524,69.3403362
140.5354,94849.20721659,19019.768962000002,70.75360243
120.4477,70738.70582384999,14059.671567450001,68.23514289
117.8413,65690.98475208001,13066.354656720001,67.41768221
147.6864,63881.25429225,12701.03348975,68.7729804
127.7636,62797.81758219,12653.47006202,69.15184501
127.1793,73995.5214135,14880.78313695,70.5522328
123.3897,80047.95200112001,15885.469369260001,70.8399518
119.9299,66405.86964442,13286.01294,69.14806899
120.2828,71655.92051744,14405.27197476,69.63127302
121.3445,70492.57634832,14154.83638872,69.56923668
120.8035,75933.50961392,15207.33992,70.15347909
128.5505,64219.2882885,12821.7900735,67.42921477
157.817,68752.11249578,13651.770164,66.35177565
120.7515,71393.35015856,14230.171488,65.9666288
121.0986,70490.54857192001,14851.450544000001,70.00787344
111.0259,85665.28804946,16939.012533999998,68.86576881
120.1353,82600.31726568,16675.06525128,69.62978167
120.3349,87845.6204832,17375.98624458,70.5154403
136.6387,91796.06287348,19004.19168276,70.85871622
117.9483,84730.38166468,18596.56584676,69.70247949
131.909,82668.51284439,16779.61216643,71.41347474
123.8555,62988.5698658,12610.96806476,69.6753746
113.4847,60840.230272559995,12360.27867672,68.61725188
116.1288,71663.29342524,14184.869356680001,69.03646759
120.7168,68400.97819932,13816.01419458,68.97093693
122.302,52064.49893722,10501.67289017,69.42521216
121.1565,56568.187863880004,11314.31778276,69.64686487
121.5181,57007.29841936,11466.86487476,69.18587787
114.4047,70461.6044083,14375.74065813,69.17112349
120.9482,55458.03177312,11374.696584,69.3394429
121.4862,65172.5625228,12948.48370728,69.22643223
120.9945,46325.22581364,9258.68319876,68.8290755
120.8267,65204.42891184,13234.085424,69.55523311
129.4704,65380.9333996,13397.460858760001,70.51535463
143.7666,66368.63719563001,13090.30195583,68.67003938
127.3818,56283.0988669,11419.112155,67.73867765
133.2831,67286.8201332,13583.41358,70.57274236
145.9854,44361.389597639994,8917.265105999999,66.22079032
144.4493,62035.76575224,12681.08575398,68.19356335
144.3799,71787.52512009999,14704.489932,69.0661189
157.1111,84753.486594,17020.80504,68.66998869
149.9919,66632.702631,13131.557519999998,66.21190868
147.0442,63279.90219908,12925.62779258,68.61413287
147.5793,70972.88178993,14310.477436230001,68.74461503
120.2655,52027.10748048,10519.79647664,68.08453782
143.0868,88935.72250325,18159.37816,73.47196291
119.9299,80866.19222047,15926.870563999999,69.88996538
120.0225,78819.36430425999,15775.271984,69.79328683
